playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Torrey Smith,WR,SF,WR,SF,null,10.9067,null,null,null,43,null,null,0.2749,null,null,null,12.4973,8.0062,5.1636,null
Shaun Draughn,RB,SF,RB,SF,null,6.2652,null,null,null,53,null,null,0.1103,null,null,null,8.2242,2.8025,null,null
Mark Ingram,RB,NO,RB,NO,null,16.9516,null,null,null,5,null,null,0.5315,null,null,null,20.6545,13.31,2.7474,null
Taiwan Jones,RB,OAK,RB,OAK,null,1.9427,null,null,null,91,null,null,0.0693,null,null,null,2.9686,0.5352,4.0872,null
Dion Lewis,RB,NE,RB,NE,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Stevan Ridley,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jacquizz Rodgers,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jordan Todman,RB,IND,RB,IND,null,1.9375,null,null,null,92,null,null,0.1648,null,null,null,3.3934,0,3.194,null
Shane Vereen,RB,NYG,RB,NYG,null,10.0646,null,null,null,32,null,null,0.2048,null,null,null,11.3321,7.9679,3.9596,null
Dwayne Bowe,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Ahmad Bradshaw,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Scott Chandler,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Clark Harris,TE,CIN,TE,CIN,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jacoby Jones,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Brian Leonard,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Marshawn Lynch,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Greg Olsen,TE,CAR,TE,CAR,null,13.6506,null,null,null,5,null,null,1.6733,null,null,null,16.5507,11.47,2.9379,null
Drew Stanton,QB,ARI,QB,ARI,null,0.2257,null,null,null,59,null,null,0.0503,null,null,null,0.4243,0.068,3.9127,null
Miles Austin,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
