"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"DeAndre Hopkins",8800,"WR","Hou",21.294,"Chi@Hou","01:00PM",20.4298,4,"2.2139",22.0545,17.74,"4.0249"
"DeAndre Washington",3700,"RB","Oak",0,"Oak@NO","01:00PM",6.358,51,"0.0814",8.2317,3.8619,"4.3976"
"Delanie Walker",4500,"TE","Ten",16.493,"Min@Ten","01:00PM",11.7326,7,"0.3857",12.268,10.3426,"3.3443"
"DeMarco Murray",5300,"RB","Ten",12.627,"Min@Ten","01:00PM",12.8042,17,"0.4467",15.4083,9.0089,"4.0615"
"Demarcus Robinson",3000,"WR","KC",0,"SD@KC","01:00PM",0.7116,159,"0.0265",0.8446,0.51,"3.2602"
"Demetrius Harris",2500,"TE","KC",1.244,"SD@KC","01:00PM",2.8374,53,"0.0805",5.8449,0.33,"4.1204"
"Denard Robinson",3100,"RB","Jax",5.308,"GB@Jax","01:00PM",4.8472,59,"0.079",9.6506,0.59,"null"
"Dennis Pitta",2600,"TE","Bal",0,"Buf@Bal","01:00PM",2.1502,63,"0.0585",3.4574,0.86,"null"
"Deonte Thompson",3000,"WR","Chi",1.443,"Chi@Hou","01:00PM",0.6618,162,"0.0338",0.8417,0.43,"3.2916"
"Derek Carr",7300,"QB","Oak",19.08,"Oak@NO","01:00PM",20.4686,5,"0.4513",21.2058,19.9503,"4.747"
"Derrick Henry",4000,"RB","Ten",0,"Min@Ten","01:00PM",8.5018,43,"0.4146",10.7274,3.3587,"4.1175"
"DeVante Parker",5300,"WR","Mia",6.427,"Mia@Sea","04:05PM",8.8252,56,"0.086",8.6182,8.21,"3.3701"
"Devin Smith",3000,"WR","NYJ",2.55,"Cin@NYJ","01:00PM",0,192,"0",0,0,"null"
"Devin Street",3000,"WR","Dal",1.56,"NYG@Dal","04:25PM",0.5481,170,"0.026",0.8101,0,"3.7305"
"Devonta Freeman",6900,"RB","Atl",22.027,"TB@Atl","01:00PM",18.5555,2,"0.8327",22.5034,15.13,"4.0055"
"Dexter McCluster",3000,"RB","Ten",8.518,"Min@Ten","01:00PM",0,142,"0",0,0,"2.7733"
"Dez Bryant",8500,"WR","Dal",10.233,"NYG@Dal","04:25PM",17.6454,7,"0.1538",19.1879,15.92,"4.7807"
"Dezmin Lewis",3000,"WR","Buf",0,"Buf@Bal","01:00PM",0,192,"0",0,0,"2.931"
"Dion Lewis",5700,"RB","NE",17.314,"NE@Ari","08:30PM",0,142,"0",0,0,"null"
"Dion Sims",2500,"TE","Mia",2.746,"Mia@Sea","04:05PM",2.688,55,"0.0715",3.6101,1,"2.7234"
"Donald Brown",3000,"RB","NE",4.57,"NE@Ari","08:30PM",0,142,"0",0,0,"null"
"Donte Moncrief",6000,"WR","Ind",11.206,"Det@Ind","04:25PM",14.7615,25,"0.2161",16.4396,8.9496,"5.8587"
"Donteea Dye",3000,"WR","TB",3.02,"TB@Atl","01:00PM",0.5982,166,"0.0174",0.9876,0,"4.141"
"Dontrelle Inman",3400,"WR","SD",7.186,"SD@KC","01:00PM",5.5192,90,"0.2426",6.8884,2.5979,"5.7271"
"Dorial Green-Beckham",4500,"WR","Ten",7.431,"Min@Ten","01:00PM",6.5788,75,"0.0494",8.6785,4.5,"6.6707"
"Doug Baldwin",6600,"WR","Sea",17.183,"Mia@Sea","04:05PM",16.3788,17,"0.3171",19.3847,13.59,"5.9862"
"Doug Martin",6200,"RB","TB",15.581,"TB@Atl","01:00PM",15.0418,9,"0.5586",17.3014,13.12,"3.3334"
"Dreamius Smith",3000,"RB","SD",0,"SD@KC","01:00PM",0,142,"0",0,0,"null"
"Drew Brees",8100,"QB","NO",23.147,"Oak@NO","01:00PM",20.2137,6,"0.7329",21.6314,18.338,"4.5227"
"Drew Stanton",5000,"QB","Ari",0.123,"NE@Ari","08:30PM",0.2257,59,"0.0503",0.4243,0.068,"3.9359"
"Dwayne Allen",3200,"TE","Ind",2.538,"Det@Ind","04:25PM",9.9212,13,"0.4903",12.5296,4.81,"3.8876"
"Dwayne Harris",3600,"WR","NYG",7.52,"NYG@Dal","04:25PM",3.2451,116,"0.0678",4.7462,0.58,"5.828"
"Dwayne Washington",3000,"RB","Det",0,"Det@Ind","04:25PM",0.6889,119,"0.0462",0.8285,0.46,"4.2296"
"E.J. Bibbs",2500,"TE","Cle",0.243,"Cle@Phi","01:00PM",0,109,"0",0,0,"null"
"Eddie Lacy",6700,"RB","GB",10.235,"GB@Jax","01:00PM",13.4954,14,"0.1131",14.9385,8.9642,"3.4454"
"Eddie Royal",3200,"WR","Chi",7.411,"Chi@Hou","01:00PM",5.9386,82,"0.0973",6.9829,4.72,"4.5779"
"EJ Manuel",5000,"QB","Buf",6.12,"Buf@Bal","01:00PM",0.2286,58,"0.0153",0.2769,0.128,"3.7467"
"Eli Manning",7500,"QB","NYG",20.211,"NYG@Dal","04:25PM",17.817,16,"0.2903",19.432,14.82,"7.2156"
"Eric Decker",6600,"WR","NYJ",17.113,"Cin@NYJ","01:00PM",16.0853,18,"0.0567",18.0597,13.8248,"4.5313"
"Eric Ebron",3900,"TE","Det",9.336,"Det@Ind","04:25PM",7.4414,19,"0.3565",10.4125,2,"null"
"Eric Weems",3000,"WR","Atl",0.156,"TB@Atl","01:00PM",0.3089,179,"0.023",0.5906,0,"8.7174"
"Erik Swoope",2500,"TE","Ind",0,"Det@Ind","04:25PM",0.5358,88,"0.0563",0.7331,0.36,"null"
"Evan Spencer",3000,"WR","TB",0,"TB@Atl","01:00PM",0,192,"0",0,0,"2.931"
"Ezekiel Elliott",7300,"RB","Dal",0,"NYG@Dal","04:25PM",16.614,6,"0.6873",19.6236,10.1779,"3.0534"
"Frank Gore",5500,"RB","Ind",12.275,"Det@Ind","04:25PM",11.626,24,"0.2172",13.6656,9.8373,"4.4536"
"Freddie Martino",3000,"WR","TB",0,"TB@Atl","01:00PM",0,192,"0",0,0,"2.931"
"Gabe Holmes",2500,"TE","Oak",0,"Oak@NO","01:00PM",0,109,"0",0,0,"null"
"Garrett Grayson",5000,"QB","NO",0,"Oak@NO","01:00PM",0,76,"0",0,0,"3.5681"
"Gary Barnidge",4700,"TE","Cle",15.394,"Cle@Phi","01:00PM",13.8255,3,"0.6669",16.1872,11.3,"3.3443"
"Gavin Escobar",2600,"TE","Dal",1.386,"NYG@Dal","04:25PM",2.5555,58,"0.1006",3.4616,1.4854,"null"
"Geno Smith",5000,"QB","NYJ",21,"Cin@NYJ","01:00PM",1.8955,36,"0.417",3.9255,0.2,"4.1743"
"Geoff Swaim",2500,"TE","Dal",0.25,"NYG@Dal","04:25PM",0.184,105,"0.0261",0.4043,0,"null"
"George Winn",3000,"RB","Det",0.014,"Det@Ind","04:25PM",0,142,"0",0,0,"null"
"Gerald Christian",2500,"TE","Ari",0,"NE@Ari","08:30PM",0,109,"0",0,0,"null"
"Geremy Davis",3000,"WR","NYG",0.41,"NYG@Dal","04:25PM",0,192,"0",0,0,"2.931"
