"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Cody Core",3000,"WR","Cin",0,"Cin@NYJ","01:00PM",0.4095,174,"0.0457",0.5055,0.1693,"3.2429"
"Cody Kessler",5000,"QB","Cle",0,"Cle@Phi","01:00PM",0.3945,51,"0.0361",0.7389,0,"4.751"
"Cole Beasley",3200,"WR","Dal",8.538,"NYG@Dal","04:25PM",7.36,70,"0.2917",7.9143,6.0725,"5.7414"
"Cole Wick",2500,"TE","Det",0,"Det@Ind","04:25PM",1.431,71,"0.206",3.2107,0,"5.2846"
"Connor Cook",5000,"QB","Oak",0,"Oak@NO","01:00PM",0,76,"0",0,0,"3.5681"
"Connor Shaw",5000,"QB","Chi",0,"Chi@Hou","01:00PM",0,76,"0",0,0,"null"
"Cooper Helfet",2500,"TE","Sea",1.625,"Mia@Sea","04:05PM",0,109,"0",0,0,"null"
"Cordarrelle Patterson",3000,"WR","Min",0.912,"Min@Ten","01:00PM",0.8896,152,"0.0387",1.5214,0.11,"4.1253"
"Corey Coleman",5100,"WR","Cle",0,"Cle@Phi","01:00PM",12.3472,37,"0.6676",14.4939,10.0958,"5.616"
"Corey Fuller",3000,"WR","Det",0.883,"Det@Ind","04:25PM",0,192,"0",0,0,"2.931"
"Corey Grant",3000,"RB","Jax",0.417,"GB@Jax","01:00PM",0.2998,128,"0.0075",0.6397,0.0273,"null"
"Corey Washington",3000,"WR","Atl",0,"TB@Atl","01:00PM",0,192,"0",0,0,"2.931"
"Craig Stevens",2500,"TE","Ten",2.256,"Min@Ten","01:00PM",0,109,"0",0,0,"null"
"Crockett Gillmore",2600,"TE","Bal",10.12,"Buf@Bal","01:00PM",6.4517,27,"0.5731",8.2802,4.0238,"4.3532"
"D.J. Foster",3000,"RB","NE",0,"NE@Ari","08:30PM",2.2,85,"0.0617",2.2,2.2,"null"
"D.J. Foster",3000,"RB","NE",0,"NE@Ari","08:30PM",0.3311,178,"0.0261",0.4791,0.1778,"3.302"
