playerId,playername,DKNAME,OwnName,DKPOS,TEAM,FCName
80427,Darrius Heyward-Bey,Darrius Heyward-Bey,Darrius Heyward-Bey,WR,PIT,Darrius Heyward-Bey
2534789,Daryl Richardson,Daryl Richardson,Daryl Richardson,RB,PIT,
2543495,Davante Adams,Davante Adams,Davante Adams,WR,GB,Davante Adams
2499277,David Ausberry,David Ausberry,David Ausberry,,FA,
2552376,David Cobb,David Cobb,David Cobb,,FA,
2543751,David Fales,David Fales,David Fales,,FA,
79589,David Johnson,David Johnson,David Johnson,RB,PIT,David Johnson
2553435,David Johnson,David Johnson,David Johnson,RB,PIT,David Johnson
2555306,David Morgan,David Morgan,David Morgan,TE,MIN,
2507884,David Nelson,David Nelson,David Nelson,,PIT,
2553502,DeAndre Carter,DeAndre Carter,DeAndre Carter,,FA,
2540165,DeAndre Hopkins,DeAndre Hopkins,DeAndre Hopkins,WR,HOU,DeAndre Hopkins
2552627,DeAndre Smelter,DeAndre Smelter,DeAndre Smelter,,FA,
2555464,DeAndre Washington,DeAndre Washington,DeAndre Washington,RB,OAK,DeAndre Washington
2552657,DeAndrew White,DeAndrew White,DeAndrew White,,FA,
2495979,DeAngelo Williams,DeAngelo Williams,DeAngelo Williams,RB,PIT,DeAngelo Williams
2543638,DeAnthony Thomas,De'Anthony Thomas,De'Anthony Thomas,,KC,
1037847,Deji Karim,Deji Karim,Deji Karim,,FA,
2495966,Delanie Walker,Delanie Walker,Delanie Walker,TE,TEN,Delanie Walker
2495207,DeMarco Murray,DeMarco Murray,DeMarco Murray,RB,TEN,DeMarco Murray
2555478,Demarcus Robinson,Demarcus Robinson,Demarcus Robinson,WR,KC,
497328,Demaryius Thomas,Demaryius Thomas,Demaryius Thomas,WR,DEN,Demaryius Thomas
2541187,Demetrius Harris,Demetrius Harris,Demetrius Harris,TE,KC,Demetrius Harris
2539260,Denard Robinson,Denard Robinson,Denard Robinson,RB,JAC,Denard Robinson
497254,Dennis Pitta,Dennis Pitta,Dennis Pitta,TE,BAL,Dennis Pitta
2553811,Deon Long,Deon Long,Deon Long,,TEN,
2534436,Deonte Thompson,Deonte Thompson,Deonte Thompson,WR,CHI,
2506546,Derek Anderson,Derek Anderson,Derek Anderson,QB,CAR,
2543499,Derek Carr,Derek Carr,Derek Carr,QB,OAK,Derek Carr
2534241,Derek Carrier,Derek Carrier,Derek Carrier,,WAS,
2495843,Derek Hagan,Derek Hagan,Derek Hagan,,FA,
2534871,Derrick Coleman,Derrick Coleman,Derrick Coleman,,SEA,
2556075,Derrick Henry,Derrick Henry,Derrick Henry,RB,TEN,Derrick Henry
1581,DeSean Jackson,DeSean Jackson,DeSean Jackson,WR,WAS,DeSean Jackson
2553703,Devante Davis,Devante Davis,Devante Davis,,FA,
2552409,DeVante Parker,DeVante Parker,DeVante Parker,WR,MIA,DeVante Parker
2532930,DeVier Posey,DeVier Posey,DeVier Posey,,FA,
2552458,Devin Funchess,Devin Funchess,Devin Funchess,WR,CAR,Devin Funchess
2506897,Devin Hester,Devin Hester,Devin Hester,WR,BAL,
2553434,Devin Smith,Devin Smith,Devin Smith,,NYJ,
2543641,Devin Street,Devin Street,Devin Street,,FA,
2556490,Devon Cajuste,Devon Cajuste,Devon Cajuste,,FA,
2556854,Devon Johnson,Devon Johnson,Devon Johnson,,CAR,
2543583,Devonta Freeman,Devonta Freeman,Devonta Freeman,RB,ATL,Devonta Freeman
2555223,Devontae Booker,Devontae Booker,Devontae Booker,RB,DEN,Devontae Booker
497190,Dexter McCluster,Dexter McCluster,Dexter McCluster,,FA,
497278,Dez Bryant,Dez Bryant,Dez Bryant,WR,DAL,Dez Bryant
2552411,Dezmin Lewis,Dezmin Lewis,Dezmin Lewis,,FA,
2495469,Dion Lewis,Dion Lewis,Dion Lewis,,NE,
2540200,Dion Sims,Dion Sims,Dion Sims,TE,MIA,Dion Sims
100019,Dolphins,Dolphins ,Dolphins,DST,MIA,Dolphins
2507779,Donald Brown,Donald Brown,Donald Brown,,FA,
184,Donnie Avery,Donnie Avery,Donnie Avery,,FA,
2543614,Donte Moncrief,Donte Moncrief,Donte Moncrief,WR,IND,Donte Moncrief
2553876,Donteea Dye,Donteea Dye,Donteea Dye,,TB,
2530700,Dontrelle Inman,Dontrelle Inman,Dontrelle Inman,WR,SD,Dontrelle Inman
2552491,Dorial Green-Beckham,Dorial Green-Beckham,Dorial Green-Beckham,WR,PHI,Dorial Green-Beckham
2530747,Doug Baldwin,Doug Baldwin,Doug Baldwin,WR,SEA,Doug Baldwin
2532899,Doug Martin,Doug Martin,Doug Martin,RB,TB,Doug Martin
2553848,Dreamius Smith,Dreamius Smith,Dreamius Smith,,SD,
2552413,Dres Anderson,Dres Anderson,Dres Anderson,,SF,
2504775,Drew Brees,Drew Brees,Drew Brees,QB,NO,Drew Brees
2530575,Drew Davis,Drew Davis,Drew Davis,,FA,
2495748,Drew Stanton,Drew Stanton,Drew Stanton,QB,ARI,
2543596,Dri Archer,Dri Archer,Dri Archer,,BUF,
2530690,DuJuan Harris,DuJuan Harris,DuJuan Harris,RB,SF,
2552461,Duke Johnson,Duke Johnson Jr.,Duke Johnson Jr.,,CLE,Duke Johnson
2556836,Duke Williams,Duke Williams,Duke Williams,,FA,
2552616,Duron Carter,Duron Carter,Duron Carter,,FA,
2550410,Dustin Vaughan,Dustin Vaughan,Dustin Vaughan,,DAL,
2533046,Dwayne Allen,Dwayne Allen,Dwayne Allen,TE,IND,Dwayne Allen
2495558,Dwayne Bowe,Dwayne Bowe,Dwayne Bowe,,FA,
2495159,Dwayne Harris,Dwayne Harris,Dwayne Harris,WR,NYG,Dwayne Harris
